Game,Notes,Console,Hours,Date Finished,Date Reviewed,Score,Review
Milk Inside a Bag of Milk Inside a Bag of Milk,,PC,1,2025-03-30,2025-03-30,5,reviews/milk inside a bag of milk inside a bag of milk.html
Milk Outside a Bag of Milk Outside a Bag of Milk,,PC,1,2025-07-17,2025-07-17,8,reviews/milk outside a bag of milk outside a bag of milk.html
Minami Lane,,PC,2.5,2025-07-26,,7,-
Minecraft: Java Edition,,PC,50,-,,9,-
Momodora: Reverie Under the Moonlight,,PC,4.5,2024-01-13,,8,-
Monument Valley,,PC,1.5,2025-11-30,,7,-
Nekopara Vol. 1,,PC,4.5,2025-06-24,,2,-
Neon Abyss,,PC,11.5,2024-01-08,,7,-
Neon White,,PC,10.5,-,,10,-
OneShot,,PC,4.5,-,,9,-
Öoo,,PC,2,2026-03-14,,9,-
Peggle Deluxe,,PC,4,2025-05-12,2025-05-12,7,reviews/peggle deluxe.html
Peggle Nights,,PC,3.5,2025-11-29,,7,-
Phoenix Wright: Ace Attorney,Trilogy Remaster,PC,18,-,,8,-
Phoenix Wright: Ace Attorney - Justice for All,Trilogy Remaster,PC,18.5,-,,7,-
Phoenix Wright: Ace Attorney - Trials and Tribulations,Trilogy Remaster,PC,21.5,-,,10,-
Pikuniku,,PC,3,-,,7,-
Portal,,PC,3,-,2024-02-02,9,reviews/portal.html
Portal 2,,PC,8.5,-,,10,-
POSTAL REDUX,,PC,2,2025-05-15,2025-05-18,6,reviews/postal redux.html
Prodigal,,PC,6.5,2024-10-26,,8,-
Psycron,,PC,2,2024-05-02,,5,-
Rayman Legends,,PC,10,2024-06-13,,8,-
Repurpose,,PC,8,2026-01-06,,6,-
Return of the Obra Dinn,,PC,8,2025-06-29,2025-06-29,9,reviews/return of the obra dinn.html
Revita,,PC,9,2024-05-06,,8,-
Rite,,PC,5,2026-02-15,,4,-
Room No. 9,,PC,6,2025-07-08,,6,-
Severed Steel,,PC,3,2025-09-21,,8,-
Shovel Knight: Shovel of Hope,,PC,6.5,2024-01-23,,9,-
Shovel Knight: Specter of Torment,,PC,4.5,2024-01-26,,9,-
Sludge Life,,PC,2,2024-07-18,,7,-
Sludge Life 2,,PC,2,2026-03-07,,7,-
Sonic CD,PC Port,PC,2,2024-04-18,,7,-
Sonic The Hedgehog,Genesis/Mega Drive Classics Port,PC,2,-,,5,-
Sonic The Hedgehog 2,Genesis/Mega Drive Classics Port,PC,2.5,-,,7,-
Sonic The Hedgehog 3 & Knuckles,Genesis/Mega Drive Classics Port,PC,4,2024-01-04,,9,-
Spectrum,,PC,,2025-08-08,2025-08-08,3,reviews/spectrum.html
Squidlit,,PC,1,-,,6,-
Stardew Valley,,PC,53,2025-04-24,2025-04-24,8,reviews/stardew valley.html
Superliminal,,PC,2.5,2024-07-10,2024-08-15,8,reviews/superliminal.html
Super Meat Boy,,PC,9.5,2026-08-15,,8,-
Terraria,,PC,52,2024-02-16,2024-02-16,8,reviews/terraria.html
The Darkside Detective,,PC,4,2026-03-09,,7,-
The Henry Stickmin Collection,,PC,2,-,,6,-
The Messenger,,PC,12,-,,8,-
The Murder of Sonic The Hedgehog,,PC,2.5,-,,7,-
this game will end in 205 clicks.,Free,PC,1,2026-07-16,,6,-
Timespinner,,PC,6,-,,8,-
Titanfall 2,,PC,6,2024-06-06,,9,-
Tomb Raider,2013 Reboot,PC,11.5,2024-06-26,,6,-
Toree 2,,PC,1,2026-07-16,,7,-
Toree 3D,,PC,1,2025-05-21,,6,-
True Love's Curse,,PC,1,2026-07-16,,6,-
Turnip Boy Commits Tax Evasion,,PC,2,-,,7,-
Umurangi Generation,,PC,2.5,2024-04-22,2024-04-22,9,reviews/umurangi generation.html
Umurangi Generation Macro,DLC,PC,1,2024-12-24,,9,-
Undertale,,PC,7,2025-05-04,,9,-
Valkyrie Saga,,PC,3.5,2026-06-29,2026-07-03,5,reviews/valkyrie saga.html
Valley Peaks,,PC,3.5,2025-07-27,2025-08-07,6,reviews/valley peaks.html
Venba,,PC,1.5,2025-08-05,,8,-
VVVVVV,,PC,2.5,-,,8,-
When the Past Was Around,,PC,1.5,2024-06-30,,8,-
Yuki4P,Shortened Title,PC,,2024-11-05,2026-05-13,7,reviews/yuki4p.html
"Zero Escape: Nine Hours, Nine Persons, Nine Doors",Nonary Games Port,PC,10,2024-05-31,2025-07-24,9,"reviews/zero escape - nine hours, nine persons, nine doors.html"
Zero Escape: Virtue's Last Reward,Nonary Games Port,PC,27.5,2025-01-07,2025-01-07,5,reviews/zero escape - virtue's last reward.html
Zero Escape: Zero Time Dilemma,,PC,20.5,2025-02-03,2025-02-04,2,reviews/zero escape - zero time dilemma.html
Ape Escape,,PS1,7,2025-07-07,2025-07-08,7,reviews/ape escape.html
