Game,Console,Digital?
Exit the Gungeon,PC,TRUE
F.E.A.R.,PC,TRUE
Fallout,PC,TRUE
Fallout 2,PC,TRUE
Fallout 3 Game of the Year Edition,PC,TRUE
Fallout: New Vegas Ultimate Edition,PC,TRUE
Fatal Twelve,PC,TRUE
Fear the Spotlight,PC,TRUE
FEZ,PC,TRUE
FINAL FANTASY IX,PC,TRUE
Final Fantasy Pixel Remaster,PC,TRUE
Final Fantasy VII,PC,TRUE
Forgive Me Father,PC,TRUE
Fountains,PC,TRUE
Frog Detective 1: The Haunted Island,PC,TRUE
Frog Detective 2: The Case of the Invisible Wizard,PC,TRUE
Frog Detective 3: Corruption at Cowboy County,PC,TRUE
Furi,PC,TRUE
Garden Story,PC,TRUE
Garry's Mod,PC,TRUE
Gato Roboto,PC,TRUE
Geometry Dash,PC,TRUE
Ghostrunner,PC,TRUE
Ghostrunner II,PC,TRUE
Going Under,PC,TRUE
Golf With Your Friends,PC,TRUE
Gotham Knights,PC,TRUE
Grand Theft Auto III Definitive Edition,PC,TRUE
Grand Theft Auto IV: The Complete Edition,PC,TRUE
Grand Theft Auto V Enhanced,PC,TRUE
Grand Theft Auto: San Andreas Definitive Edition,PC,TRUE
Grand Theft Auto: Vice City Definitive Edition,PC,TRUE
Grapple Dog,PC,TRUE
Gravity Circuit,PC,TRUE
Gris,PC,TRUE
Half-Life,PC,TRUE
Half-Life 2,PC,TRUE
Half-Life 2: Episode 1,PC,TRUE
Half-Life 2: Episode 2,PC,TRUE
Heaven Will Be Mine,PC,TRUE
her tears were my light,PC,TRUE
Here Comes Niko!,PC,TRUE
Hidden Folks,PC,TRUE
High Hell,PC,TRUE
Highway Blossoms,PC,TRUE
Higurashi When They Cry Hou - Ch.2 Watanagashi,PC,TRUE
Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,PC,TRUE
Higurashi When They Cry Hou - Ch.4 Himatsubushi,PC,TRUE
Higurashi When They Cry Hou - Ch.5 Meakashi,PC,TRUE
Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,PC,TRUE
Higurashi When They Cry Hou - Ch.7 Minagoroshi,PC,TRUE
