Game,Notes,Console,Hours
F.E.A.R.,,PC,8
Grand Theft Auto IV: The Ballad of Gay Tony,DLC,PC,8
Hyper Light Drifter,,PC,8
Hytale,,PC,8
Katawa Shoujo,,PC,8
Letters From a Rainy Day: Oceans and Lace,,PC,8
Max Payne,,PC,8
Rayman 2: The Great Escape,,PC,8
Shantae and the Pirate's Curse,,PC,8
Sifu,,PC,8
The Darkside Detective: A Fumble in the Dark,,PC,8
Voidwrought,,PC,8
Anodyne 2: Return to Dust,,PC,8.5
Denshattack!,,PC,8.5
Ghostrunner II,,PC,8.5
Highway Blossoms,,PC,8.5
Prince of Persia: The Sands of Time,,PC,8.5
The Dark Eye: Memoria,,PC,8.5
The End is Nigh,,PC,8.5
XIII,,PC,8.5
Death's Door,,PC,9
DRAMAtical Murder,,PC,9
Hotline Miami 2: Wrong Number,,PC,9
Metro 2033 Redux,,PC,9
Resident Evil 2,2019 Remake,PC,9
Sol Cesto,,PC,9
Sonic Adventure 2,,PC,9
Sonic Adventure DX,,PC,9
A Hat in Time,,PC,9.5
Going Under,,PC,9.5
Higurashi When They Cry Hou - Ch.5 Meakashi,,PC,9.5
Hitman: Contracts,,PC,9.5
The Life and Suffering of Sir Brante,,PC,9.5
Dodgeball Academia,,PC,10
OTXO,,PC,10
Resident Evil Village,,PC,10
Royal Alchemist,,PC,10
The Callisto Protocol,,PC,10
The Night of the Rabbit,,PC,10
Axiom Verge,,PC,10.5
Bioshock 2 Remastered,,PC,10.5
Higurashi When They Cry Hou - Ch.1 Onikakushi,,PC,10.5
Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,,PC,10.5
Rabi-Ribi,,PC,10.5
Risk of Rain 2,,PC,10.5
Streets of Rogue,,PC,10.5
The Binding of Isaac: Rebirth,,PC,10.5
Alan Wake,,PC,11
Batman: Arkham Asylum,GOTY Edition,PC,11
Fountains,,PC,11
Hitman: Codename 47,,PC,11
Iconoclasts,,PC,11
No More Heroes,,PC,11
Paranormasight: The Seven Mysteries of Honjo,,PC,11
Please Be Happy,,PC,11
Thief,Definitive Edition,PC,11
Va-11 Hall-A: Cyberpunk Bartender Action,,PC,11
Bioshock Infinite,,PC,11.5
Control,,PC,11.5
Paradise Killer,,PC,11.5
Resident Evil,,PC,11.5
Roadwarden,,PC,11.5
Suicide Squad: Kill the Justice League,,PC,11.5
Wolfenstein: The New Order,,PC,11.5
Bioshock Remastered,,PC,12
Devil May Cry 3: Dante's Awakening,HD Collection,PC,12
Hitman: Blood Money,,PC,12
Psychonauts,,PC,12
Batman: Arkham Origins,,PC,12.5
Dungreed,,PC,12.5
Higurashi When They Cry Hou - Ch.2 Watanagashi,,PC,12.5
Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,,PC,12.5
Hitman: Absolution,,PC,12.5
River City Girls 2,,PC,12.5
Staffer Case,,PC,12.5
Barony,,PC,13
Blood West,,PC,13
Half-Life 2,,PC,13
Higurashi When They Cry Hou - Ch.7 Minagoroshi,,PC,13
Shadow of the Tomb Raider,Definitive Edition,PC,13
System Shock,Enhanced Edition,PC,13
Yooka-Laylee and the Impossible Lair,,PC,13
Batman: Arkham City,GOTY Edition,PC,13.5
Alice: Madness Returns,,PC,14
Another Crab's Treasure,,PC,14
Blasphemous,,PC,14
Bloodstained: Ritual of the Night,,PC,14
Dead Cells,,PC,14
Grand Theft Auto III,Definitive Edition,PC,14
Hitman 2: Silent Assassin,,PC,14
Killer7,,PC,14
Moonlighter,,PC,14
Need for Speed Heat,Deluxe Edition,PC,14
Royal Order,,PC,14
Bully: Scholarship Edition,,PC,14.5
Doom Eternal,,PC,14.5
moon: Remix RPG Adventure,Steam Port,PC,14.5
Rise of the Tomb Raider,20 Year Celebration Edition,PC,14.5
Slime Rancher,,PC,14.5
vivid/stasis,Free,PC,14.5
Bustafellows,,PC,15
MIO: Memories in Orbit,,PC,15
The Silver Case,,PC,15
Fatal Twelve,,PC,15.5
Final Fantasy,Pixel Remaster,PC,15.5
Tomb Raider I,2024 Remaster,PC,15.5
Until Then,,PC,15.5
Fallout,,PC,16
Middle-earth: Shadow of Mordor,,PC,16
Resident Evil 4,2023 Remake,PC,16
Tomb Raider II,2024 Remaster,PC,16
Higurashi When They Cry Hou - Ch.8 Matsuribayashi,,PC,16.5
The 25th Ward: The Silver Case,,PC,16.5
Batman: Arkham Knight,,PC,17
Mass Effect,Legendary Edition,PC,17
Outer Wilds,,PC,17
SKALD: Against the Black Priory,,PC,17
The Witness,,PC,17
Gotham Knights,,PC,17.5
Sea Bed,,PC,17.5
The Divine Speaker,,PC,17.5
LEGO Star Wars: The Skywalker Saga,,PC,18.5
Shadow Man Remastered,,PC,18.5
Dream Tactics,,PC,19
Lilycle Rainbow Stage!!!,,PC,19
Cassette Beasts,,PC,20
Mad Max,,PC,20
Rain World,,PC,20
Escape from Ever After,,PC,20.5
