Game,Notes,Console,Hours
Mario and Luigi: Brothership,,Switch,40
Neo: The World Ends With You,,Switch,40
Ni No Kuni: Wrath of The White Witch,Remastered,Switch,44
Digimon Story: Cyber Sleuth - Hacker's Memory,,Switch,46.5
Fire Emblem: Three Houses,,Switch,49
Digimon Story: Cyber Sleuth,,Switch,50
Xenoblade Chronicles: Definitive Edition,,Switch,57
The Legend of Zelda: Tears of The Kingdom,,Switch,59
Persona 5 Royal,,Switch,101
UFO 50,,Switch,110
Inukari: Chase of Deception,,Switch,
Cyberpunk 2077: Phantom Liberty,DLC,Switch 2,13
Cyberpunk 2077,,Switch 2,26
Hades II,,Switch 2,29
Sonic Colors,,Wii,5
Kirby's Epic Yarn,,Wii,6.5
The Conduit,,Wii,6.5
Endless Ocean,,Wii,7.5
Sonic and the Secret Rings,,Wii,8
New Super Mario Bros Wii,,Wii,9
Super Smash Bros Brawl,,Wii,11.5
Endless Ocean: Blue World,,Wii,13
Super Mario Galaxy 2,,Wii,13
Metroid Prime 3: Corruption,,Wii,13.5
Super Paper Mario,,Wii,18.5
The Legend of Zelda: Twilight Princess,,Wii,37
We Love Golf!,,Wii,
Star Fox Zero,,Wii U,5
Kirby and the Rainbow Curse,,Wii U,5.5
Sonic Boom: Rise of Lyric,,Wii U,7.5
Sonic Lost World,,Wii U,7.5
Rodea the Sky Soldier,,Wii U,8.5
Bayonetta 2,,Wii U,9
Bayonetta,,Wii U,11.5
Yoshi's Woolly World,,Wii U,12
Hyrule Warriors,,Wii U,13
Pikmin 3,,Wii U,13
Lego City Undercover,,Wii U,15.5
The Wonderful 101,,Wii U,16.5
The Legend of Zelda: The Wind Waker HD,,Wii U,25
Paper Mario: Color Splash,,Wii U,30
Xenoblade Chronicles X,,Wii U,68
The Invisible Hours,,XBOX One,3
Mighty No. 9,,XBOX One,5
RIME,,XBOX One,5.5
Halo 3: ODST Master Chief Collection,Master Chief Collection,XBOX One,6
Spyro the Dragon,Reignited Trilogy,XBOX One,6
Spyro 2: Ripto's Rage!,Reignited Trilogy,XBOX One,7
Blast Corps,Rare Replay,XBOX One,7.5
Halo 4 Master Chief Collection,Master Chief Collection,XBOX One,7.5
Perfect Dark Zero Rare Replay,Rare Replay,XBOX One,7.5
Halo 2 Anniversary Master Chief Collection,Master Chief Collection,XBOX One,8
Halo 3 Master Chief Collection,Master Chief Collection,XBOX One,8
Halo: Reach Master Chief Collection,Master Chief Collection,XBOX One,8
Spyro: Year of the Dragon,Reignited Trilogy,XBOX One,8
Call of Duty: Black Ops III,,XBOX One,9
Resident Evil 7: Biohazard,,XBOX One,9
The Wolf Among Us,,XBOX One,9.5
Conker's Bad Fur Day,Rare Replay,XBOX One,11
Banjo-Kazooie,Rare Replay,XBOX One,11.5
Dead Rising,,XBOX One,12
Jet Force Gemini Rare Replay,Rare Replay,XBOX One,15.5
Yooka-Laylee,,XBOX One,15.5
Banjo-Tooie,Rare Replay,XBOX One,17
Indivisible,,XBOX One,18.5
Scarlet Nexus,,XBOX One,25
Dark Souls Remastered,,XBOX One,29.5
Elden Ring,,XBOX One,60
